,captions,vi_captions
0,"['Người đàn ông tóc cắt ngắn, mặc áo phông màu xám nhạt có chữ màu đỏ trên ngực áo, quần màu xám nhạt, và đi đôi giày thể thao màu đen với dây giày màu đỏ.', 'Người đàn ông dáng đi vai hơi gù, mặc bộ quần áo màu xám nhạt, sải bước chân rộng với đôi giày màu đen thắt dây màu đỏ.']","['The man had short hair, wore a light gray T-shirt with red letters on the chest, light gray pants, and black sneakers with red shoelaces.', 'The man was hunched - shouldered, dressed in light gray clothes, with a wide stride and black shoes with red laces.']"
1,"['Một nam thanh niên vẻ mặt tươi tắn, đi đôi giày màu đen dây đỏ, mặc áo phông ngắn tay và quần màu xám nhạt, gấu quần sắn lên.', 'Một nam thanh niên tóc cắt ngắn, mặc bộ quần áo màu xám nhạt, chân đi đôi giày màu đen có vạch trắng ở hai bên ngoài và dây giày màu đỏ.']","['A bright - faced young man, wearing red - laced black shoes, a short - sleeved T - shirt and light gray trousers, rolled up his trousers.', 'A young man with short hair, wearing light gray clothing, black shoes with white markings on the outside and red shoelaces.']"
2,"['Một cậu thanh niên trẻ tuổi, mặc bộ quần áo màu xám, áo phông ngắn tay, cổ tròn, có chữ đỏ phía trước ngực cùng chiếc quần dài, chân đi đôi giày màu đen, có dây buộc màu đỏ.', 'Một nam thanh niên chân đi đôi giày màu đen, có viền kẻ đỏ, mặc chiếc áo phông ngắn tay, cổ tròn màu xám, có chữ màu đỏ phía trước ngực, và chiếc quần dài màu xám.']","['A young man, dressed in gray clothes, short-sleeved T-shirt, round neck, with red letters in front of his chest and long pants, legs in black shoes, with red laces.', 'A young man wearing black shoes with red trim, wearing a short-sleeved T-shirt, a grey round neck, red letters in front of his chest, and gray trousers.']"
3,"['Một cậu con trai mặc bộ đồ màu xám, chiếc áo phông cộc tay, cổ tròn, chữ màu đỏ phía trước ngực áo, và chiếc quần dài xắn gấu, chân đi đôi giày màu đen có viền kẻ đỏ.', 'Một nam thanh niên chân đi đôi giày màu đen, có dây buộc màu đỏ, mặc chiếc áo phông ngắn tay, màu xám, có chữ màu đỏ phía trước ngực, và chiếc quần dài xắn gấu.']","['A boy wears a gray suit, a short - sleeved T - shirt, a round neck, red lettering on the front of the shirt, and bear - shaped pants, and black shoes with red trim.', 'A young man in black shoes with red laces, wearing a short - sleeved gray T - shirt with red letters on the front of his chest, and bear - shaped pants.']"
4,"['Một nam thanh niên, tóc ngắn, mặc áo ngắn tay màu xám, quần màu xám và đi đôi giày màu đen có vạch trắng.', 'Một nam thanh niên tóc cắt ngắn, mặc quần áo màu xám, áo cộc tay, quần dài, và đi đôi giày màu màu đen có vạch trắng.']","['A young man, short hair, wearing a gray short sleeve blouse, gray pants, and black shoes with white stripes.', 'A young man with short hair, wearing gray clothing, short sleeves, pants, and black shoes with white stripes.']"
5,"['Nữ tóc dài chấm vai, mặc áo nỉ dài tay màu hồng nhạt, quần đen có vạch trắng ở hai bên, chân đi giày màu đen đế trắng.', 'Cô gái tóc đen chạm vai, tay phải cầm một chiếc ví màu đen, mặc áo thu đông màu hồng phấn nhạt có dòng chữ màu trắng ở trước ngực, mặc quần bó màu đen có viền trắng chạy dọc ở bên ngoài ống quần, chân đi giày thể thao màu đen.']","['Women with long hair dotted at the shoulders, wearing long - sleeved sweatshirts of light pink, black pants with white markings on the sides, black shoes with white soles.', 'The black - haired girl touches her shoulders, holds a black purse in her right hand, wears a pale pink winter coat with white inscriptions on the front, wears black tights with white trim that run along the outside of the pants, and has black sneakers on her feet.']"
6,"['Cô gái cầm trên tay phải chiếc ví nhỏ màu đen, chân đi giày thể thao màu đen với dây buộc cũng màu đen, mặc áo dài trùm kín tay màu hồng phấn nhạt và mặc quần thể thao đen vạch trắng. ', 'Một nữ thanh niên trẻ, tóc đen dài đến vai, đi giày màu đen, mặc quần thể thao màu đen với đường viền màu trắng chạy dọc ống quần, mặc áo nỉ dài tay màu hồng phấn.']","['The girl holds on her right hand a small black purse, her legs in black sneakers with laces are also black, wears a long shirt that covers her arms in pastel pink, and wears black sports pants with white stripes.', 'A young woman, with shoulder - length black hair, wearing black shoes, wearing black sports pants with a white border running along the legs, wearing a long - sleeved sweatshirt in pastel pink.']"
7,"['Một cô gái tóc ngắn ngang vai, tay cầm ví màu đen, mặc áo màu hồng nhạt, quần màu đen có sọc trắng, đi giày thể thao', 'Một cô gái trẻ, mặc áo màu hồng, quần màu đen, chân đi giày thể thao màu đen, đế màu trắng, có mái tóc chấm ngang vai']","['A girl with shoulder-length short hair, a black purse handle, a light pink blouse, black pants with white stripes, sneakers', 'A young girl, wearing a pink blouse, black pants, black sneakers, white soles, with shoulder - level hair']"
8,"['Một cô gái tóc ngắn ngang vai, mặc áo màu hồng nhạt, quần màu đen, đi giày thể thao màu đen, đế màu trắng', 'Cô gái trẻ, tóc ngắn ngang vai, mặc áo màu hồng nhạt, quần màu đen, giầy thể thao màu đen có đế màu trắng']","['A girl with shoulder - length short hair, wearing a pale pink blouse, black pants, black sneakers, white soles', 'Young girl, shoulder - length hair, pale pink blouse, black pants, black sneakers with white soles']"
9,"['Một cô gái tóc ngang vai, mặc áo dài tay màu hồng, quần dài màu đen, và đi đôi giày màu đen.', 'Một cô gái tóc đen dài đến ngang vai, mặc áo nỉ màu hồng, quần thể thao màu đen có sọc trắng, và đi đôi giày màu đen có sọc trắng.']","['A girl with shoulder - length hair, wearing a pink long - sleeved blouse, black pants, and black shoes.', 'A girl with shoulder - length black hair wears a pink sweatshirt, black sports pants with white stripes, and black shoes with white stripes.']"
